timestamp,stock,percentage_change
2025-03-17 21:00:00+00:00,83947.5625,0.15308105282985435
2025-03-17 23:00:00+00:00,84077.203125,0.020396060837686195
2025-03-18 00:00:00+00:00,84033.265625,-0.2934105894447679
2025-03-18 01:00:00+00:00,83799.546875,-0.8541961462724198
2025-03-18 02:00:00+00:00,83164.0703125,0.3384029743163011
2025-03-18 03:00:00+00:00,83297.9609375,-0.213015418388374
2025-03-18 05:00:00+00:00,82973.6171875,0.00934031835985516
2025-03-18 09:00:00+00:00,83271.6640625,-0.5284473175289501
2025-03-18 12:00:00+00:00,82541.46875,-0.19958717720297411
2025-03-18 13:00:00+00:00,82388.3046875,-1.3915146292286062
2025-03-18 16:00:00+00:00,81581.9609375,0.32380205067928713
2025-03-18 18:00:00+00:00,81450.2109375,0.45452422190051495
2025-03-18 23:00:00+00:00,82406.546875,0.37679045145646994
2025-03-19 01:00:00+00:00,83149.4453125,-0.5304455109019162
2025-03-19 03:00:00+00:00,82899.796875,0.18590779870351762
2025-03-19 04:00:00+00:00,83051.015625,-0.1130987824689832
2025-03-19 06:00:00+00:00,83244.7734375,-0.06498155711915472
2025-03-19 07:00:00+00:00,83203.984375,-0.023502104673097275
2025-03-19 08:00:00+00:00,83207.765625,0.2545397937429593
2025-03-19 09:00:00+00:00,83445.8359375,0.09891333890144122
2025-03-19 10:00:00+00:00,83527.4296875,-0.044437123994915215
2025-03-19 11:00:00+00:00,83482.5390625,0.46459004104993884
2025-03-19 13:00:00+00:00,83756.9140625,0.5269900759125762
2025-03-19 15:00:00+00:00,84305.921875,0.499371800505562
2025-03-19 16:00:00+00:00,84738.7109375,-0.16959301824404155
2025-03-19 18:00:00+00:00,84190.765625,1.8803372326500325
2025-03-19 20:00:00+00:00,85445.6875,-0.159778031512708
2025-03-19 21:00:00+00:00,85363.9140625,0.2601271157006936
2025-03-20 02:00:00+00:00,85876.796875,0.24147056602709369
2025-03-20 03:00:00+00:00,86082.703125,-0.22285073602003017
2025-03-20 06:00:00+00:00,85811.765625,-0.00111982021696107
2025-03-20 09:00:00+00:00,86259.515625,-0.47429549892049955
2025-03-20 12:00:00+00:00,85477.9765625,-0.1791488505674113
2025-03-20 15:00:00+00:00,86128.3671875,-1.6350231590183655
2025-03-20 16:00:00+00:00,84658.609375,-1.1161095362606173
2025-03-20 19:00:00+00:00,83996.6796875,0.22792009542787917
2025-03-20 21:00:00+00:00,84500.71875,-0.22447109362605275
2025-03-20 23:00:00+00:00,84102.2109375,0.17796425721938233
2025-03-21 01:00:00+00:00,84443.7578125,0.33452369046298475
2025-03-21 02:00:00+00:00,84724.390625,-0.10289798115617901
2025-03-21 05:00:00+00:00,84632.34375,-0.3131282920426034
